num_steps, Estimación pi, Diferencia pi, Tiempo de ejecución                                                          
10000000,3.1408704,0.0007222,0.0700000                                                                                  
20000000,3.1387648,0.0028278,0.1180000                                                                                  
40000000,3.1418928,-0.0003002,0.2330000                                                                                 
80000000,3.1416040,-0.0000114,0.4610000                                                                                 
160000000,3.1408556,0.0007370,0.9350000                                                                                 
320000000,3.1416818,-0.0000892,1.8430000                                                                                
640000000,3.1412616,0.0003310,3.7450000                                                                                 
1280000000,3.1414506,0.0001420,7.4990000                                                                                
2560000000,3.1415713,0.0000213,15.0360000                                                                               
5120000000,3.1415445,0.0000481,29.7810000
